
id,branch,year,subject,question_text,Qyear,mark_weightage
1,CSE,FY,Physics,Explain the concept of wave-particle duality and state the de Broglie wavelength formula.,2019,6
2,CSE,FY,Physics,What is the Hall effect? Derive an expression for the Hall voltage.,2019,8
3,CSE,FY,Physics,Describe the construction and working of a He-Ne laser with a neat energy level diagram.,2019,8
4,CSE,FY,Physics,State and explain Maxwell's four equations in integral form.,2019,8
5,CSE,FY,Physics,What is superconductivity? Explain the Meissner effect.,2019,6
6,CSE,FY,Physics,Differentiate between interference and diffraction of light.,2019,4
7,CSE,FY,Physics,Explain the working of a P-N junction diode under forward and reverse bias.,2019,6
8,CSE,FY,Physics,What is the photoelectric effect? State Einstein's photoelectric equation.,2019,4
9,CSE,FY,Physics,Define electric field and magnetic field.,2019,4
10,CSE,FY,Physics,State Ohm's Law and its limitations.,2019,4
11,CSE,FY,Physics,What is polarization of light?,2019,4
12,CSE,FY,Physics,Describe the working of a full-wave rectifier.,2019,6
13,CSE,FY,Physics,Derive the formula for the capacitance of a parallel plate capacitor.,2019,6
14,CSE,FY,Physics,What is a semiconductor? Differentiate between intrinsic and extrinsic semiconductors.,2019,4
15,CSE,FY,Mathematics,"Find the rank of the matrix A = [[1, 2, 3], [2, 3, 4], [3, 5, 7]].",2019,6
16,CSE,FY,Mathematics,"Verify Rolle's Theorem for f(x) = sin(x) in [0, pi].",2019,6
17,CSE,FY,Mathematics,Solve the differential equation (D^2 + 5D + 6)y = e^x.,2019,8
18,CSE,FY,Mathematics,Find the Laplace transform of t*sin(3t).,2019,6
19,CSE,FY,Mathematics,Evaluate the double integral of (x + y) over the region bounded by y=x and y=x^2.,2019,8
20,CSE,FY,Mathematics,"Expand f(x) = x^2 as a Fourier series in the interval (-pi, pi).",2019,8
21,CSE,FY,Mathematics,"Determine if the vectors (1,1,0), (1,0,1), (0,1,1) are linearly dependent.",2019,4
22,CSE,FY,Mathematics,"Find the eigenvalues and eigenvectors of the matrix [[4, 1], [1, 4]].",2019,8
23,CSE,FY,Mathematics,Test the convergence of the series sum(1/n!).,2019,4
24,CSE,FY,Mathematics,"If u = log(x^2 + y^2), prove that x*(du/dx) + y*(du/dy) = 2.",2019,4
